session_id,user_id,book_id,condition,event_type,timestamp,page_number,latency_ms,manual_interventions,line_index,direction,trigger
1777566301503,,3,C1,session_start,1777566301532,1,,0,,,
1777566301503,,3,C1,line_change,1777566301532,0,,0,0,,auto
1777566301503,,3,C1,line_change,1777566303136,1,,0,0,forward,manual
1777566301503,,3,C1,line_change,1777566303677,2,,0,0,forward,manual
1777566301503,,3,C1,page_turn,1777566303678,2,,1,,,
1777566301503,,3,C1,line_change,1777566304023,3,,1,0,forward,manual
1777566301503,,3,C1,page_turn,1777566304023,3,,2,,,
1777566301503,,3,C1,line_change,1777566304476,4,,2,0,forward,manual
1777566301503,,3,C1,page_turn,1777566305361,4,,3,,,
1777566301503,,3,C1,session_end,1777566308862,4,,3,,,
