session_id,user_id,book_id,condition,event_type,timestamp,page_number,latency_ms,manual_interventions,line_index,direction,trigger
1777567061665,,1,C2,session_start,1777567061785,1,,0,,,
1777567061665,,1,C2,line_change,1777567061785,0,,0,0,,auto
1777567061665,,1,C2,line_change,1777567068783,0,,0,1,forward,manual
1777567061665,,1,C2,line_change,1777567074551,1,,0,1,forward,manual
1777567061665,,1,C2,page_turn,1777567074557,2,,0,,,
1777567061665,,1,C2,line_change,1777567080076,1,,0,2,forward,auto
1777567061665,,1,C2,line_change,1777567083661,1,,0,3,forward,auto
1777567061665,,1,C2,line_change,1777567084945,1,,0,4,forward,auto
1777567061665,,1,C2,line_change,1777567089167,1,,0,5,forward,auto
1777567061665,,1,C2,line_change,1777567090514,1,,0,6,forward,auto
1777567061665,,1,C2,session_end,1777568823317,2,,0,,,
