session_id,user_id,book_id,condition,event_type,timestamp,page_number,latency_ms,manual_interventions,line_index,direction,trigger
1777570157902,,1,C1,session_start,1777570157928,1,,0,,,
1777570157902,,1,C1,line_change,1777570157928,0,,0,0,,auto
1777570157902,,1,C1,line_change,1777570166864,0,,0,1,forward,manual
1777570157902,,1,C1,line_change,1777570171369,1,,0,1,forward,manual
1777570157902,,1,C1,page_turn,1777570171375,2,,0,,,
1777570157902,,1,C1,line_change,1777570176871,1,,0,2,forward,auto
1777570157902,,1,C1,line_change,1777570191302,1,,0,3,forward,auto
1777570157902,,1,C1,line_change,1777570192538,1,,0,4,forward,auto
1777570157902,,1,C1,line_change,1777570220787,1,,0,5,forward,auto
1777570157902,,1,C1,line_change,1777570222115,1,,0,6,forward,auto
1777570157902,,1,C1,line_change,1777570225986,2,,0,1,forward,manual
1777570157902,,1,C1,page_turn,1777570225996,3,,0,,,
1777570157902,,1,C1,line_change,1777570231761,2,,0,2,forward,auto
1777570157902,,1,C1,line_change,1777570233147,2,,0,3,forward,auto
1777570157902,,1,C1,line_change,1777570243982,2,,0,4,forward,auto
1777570157902,,1,C1,line_change,1777570247849,2,,0,5,forward,auto
1777570157902,,1,C1,line_change,1777570250700,2,,0,6,forward,auto
1777570157902,,1,C1,line_change,1777570252020,2,,0,7,forward,auto
1777570157902,,1,C1,line_change,1777570255353,3,,0,1,forward,manual
1777570157902,,1,C1,page_turn,1777570255362,4,,0,,,
1777570157902,,1,C1,line_change,1777570278768,3,,0,2,forward,auto
1777570157902,,1,C1,line_change,1777570281247,3,,0,3,forward,auto
1777570157902,,1,C1,line_change,1777570284797,3,,0,4,forward,auto
1777570157902,,1,C1,line_change,1777570288522,3,,0,5,forward,auto
1777570157902,,1,C1,line_change,1777570294067,4,,0,1,forward,manual
1777570157902,,1,C1,page_turn,1777570294076,5,,0,,,
1777570157902,,1,C1,line_change,1777570296684,4,,0,2,forward,auto
1777570157902,,1,C1,line_change,1777570297964,4,,0,3,forward,auto
1777570157902,,1,C1,line_change,1777570300927,4,,0,4,forward,auto
1777570157902,,1,C1,line_change,1777570306961,5,,0,1,forward,manual
1777570157902,,1,C1,page_turn,1777570306969,6,,0,,,
1777570157902,,1,C1,line_change,1777570311664,5,,0,2,forward,auto
1777570157902,,1,C1,line_change,1777570312926,5,,0,3,forward,auto
1777570157902,,1,C1,line_change,1777570315842,5,,0,4,forward,auto
1777570157902,,1,C1,line_change,1777570317591,5,,0,5,forward,auto
1777570157902,,1,C1,line_change,1777570322572,6,,0,1,forward,manual
1777570157902,,1,C1,page_turn,1777570322576,7,,0,,,
1777570157902,,1,C1,line_change,1777570332795,6,,0,2,forward,manual
1777570157902,,1,C1,line_change,1777570335387,6,,0,3,forward,auto
1777570157902,,1,C1,line_change,1777570337486,6,,0,4,forward,auto
1777570157902,,1,C1,line_change,1777570341034,6,,0,5,forward,auto
1777570157902,,1,C1,line_change,1777570343385,6,,0,6,forward,auto
1777570157902,,1,C1,line_change,1777570347996,7,,0,1,forward,manual
1777570157902,,1,C1,page_turn,1777570348006,8,,0,,,
1777570157902,,1,C1,line_change,1777570349922,7,,0,2,forward,auto
1777570157902,,1,C1,line_change,1777570351866,7,,0,3,forward,auto
1777570157902,,1,C1,line_change,1777570353020,7,,0,4,forward,auto
1777570157902,,1,C1,line_change,1777570355289,7,,0,5,forward,auto
1777570157902,,1,C1,line_change,1777570362817,7,,0,6,forward,auto
1777570157902,,1,C1,line_change,1777570365049,7,,0,7,forward,auto
1777570157902,,1,C1,line_change,1777570370860,8,,0,1,forward,manual
1777570157902,,1,C1,page_turn,1777570370868,9,,0,,,
1777570157902,,1,C1,line_change,1777570373146,8,,0,2,forward,auto
1777570157902,,1,C1,line_change,1777570375452,8,,0,3,forward,auto
1777570157902,,1,C1,line_change,1777570378411,8,,0,4,forward,auto
1777570157902,,1,C1,line_change,1777570379682,8,,0,5,forward,auto
1777570157902,,1,C1,line_change,1777570388930,8,,0,6,forward,auto
1777570157902,,1,C1,line_change,1777570396952,9,,0,1,forward,manual
1777570157902,,1,C1,page_turn,1777570396959,10,,0,,,
1777570157902,,1,C1,line_change,1777570399402,9,,0,2,forward,auto
1777570157902,,1,C1,line_change,1777570403523,9,,0,3,forward,auto
1777570157902,,1,C1,line_change,1777570407400,9,,0,4,forward,auto
1777570157902,,1,C1,line_change,1777570408745,9,,0,5,forward,auto
1777570157902,,1,C1,line_change,1777570411729,9,,0,6,forward,auto
1777570157902,,1,C1,line_change,1777570415263,10,,0,1,forward,manual
1777570157902,,1,C1,page_turn,1777570415274,11,,0,,,
1777570157902,,1,C1,line_change,1777570418622,10,,0,2,forward,auto
1777570157902,,1,C1,line_change,1777570425300,10,,0,3,forward,auto
1777570157902,,1,C1,line_change,1777570426604,10,,0,4,forward,auto
1777570157902,,1,C1,line_change,1777570430444,10,,0,5,forward,auto
1777570157902,,1,C1,line_change,1777570450291,10,,0,6,forward,manual
1777570157902,,1,C1,line_change,1777570453667,11,,0,1,forward,manual
1777570157902,,1,C1,page_turn,1777570453680,12,,0,,,
1777570157902,,1,C1,line_change,1777570457162,11,,0,2,forward,auto
1777570157902,,1,C1,line_change,1777570458484,11,,0,3,forward,auto
1777570157902,,1,C1,line_change,1777570462928,11,,0,4,forward,auto
1777570157902,,1,C1,line_change,1777570465921,11,,0,5,forward,auto
1777570157902,,1,C1,line_change,1777570470851,11,,0,6,forward,auto
1777570157902,,1,C1,line_change,1777570474050,12,,0,1,forward,manual
1777570157902,,1,C1,page_turn,1777570474060,13,,0,,,
1777570157902,,1,C1,line_change,1777570479776,12,,0,2,forward,auto
1777570157902,,1,C1,line_change,1777570483062,12,,0,3,forward,auto
1777570157902,,1,C1,line_change,1777570484184,12,,0,4,forward,auto
1777570157902,,1,C1,line_change,1777570490035,12,,0,5,forward,auto
1777570157902,,1,C1,line_change,1777570493492,12,,0,6,forward,auto
1777570157902,,1,C1,line_change,1777570501466,13,,0,1,forward,manual
1777570157902,,1,C1,page_turn,1777570501481,14,,0,,,
1777570157902,,1,C1,line_change,1777570505761,13,,0,2,forward,auto
1777570157902,,1,C1,line_change,1777570509329,13,,0,3,forward,auto
1777570157902,,1,C1,line_change,1777570513047,14,,0,0,forward,manual
1777570157902,,1,C1,page_turn,1777570513054,15,,1,,,
1777570157902,,1,C1,line_change,1777570517016,15,,1,0,forward,manual
1777570157902,,1,C1,page_turn,1777570517029,16,,2,,,
1777570157902,,1,C1,line_change,1777570521722,15,,2,1,forward,manual
1777570157902,,1,C1,line_change,1777570525709,15,,2,2,forward,auto
1777570157902,,1,C1,line_change,1777570527022,15,,2,3,forward,auto
1777570157902,,1,C1,line_change,1777570530796,15,,2,4,forward,auto
1777570157902,,1,C1,line_change,1777570534948,15,,2,5,forward,auto
1777570157902,,1,C1,line_change,1777570537544,15,,2,6,forward,auto
1777570157902,,1,C1,line_change,1777570540680,15,,2,7,forward,auto
1777570157902,,1,C1,line_change,1777570542754,15,,2,8,forward,auto
1777570157902,,1,C1,line_change,1777570544328,15,,2,9,forward,auto
1777570157902,,1,C1,line_change,1777570547791,15,,2,10,forward,auto
1777570157902,,1,C1,line_change,1777570550050,15,,2,11,forward,auto
1777570157902,,1,C1,line_change,1777570555221,15,,2,12,forward,auto
1777570157902,,1,C1,session_end,1777570558308,16,,2,,,
