session_id,user_id,book_id,condition,event_type,timestamp,page_number,latency_ms,manual_interventions,line_index,direction,trigger
1777560532796,,1,C1,session_start,1777560532812,1,,0,,,
1777560532796,,1,C1,line_change,1777560532812,0,,0,0,,auto
1777560532796,,1,C1,line_change,1777560536619,0,,0,1,forward,manual
1777560532796,,1,C1,line_change,1777560541689,1,,0,1,forward,manual
1777560532796,,1,C1,page_turn,1777560541692,2,,0,,,
1777560532796,,1,C1,line_change,1777560547197,1,,0,2,forward,auto
1777560532796,,1,C1,line_change,1777560550640,1,,0,3,forward,auto
1777560532796,,1,C1,line_change,1777560551926,1,,0,4,forward,auto
1777560532796,,1,C1,line_change,1777560555349,1,,0,5,forward,auto
1777560532796,,1,C1,line_change,1777560556684,1,,0,6,forward,auto
1777560532796,,1,C1,line_change,1777560620303,2,,0,1,forward,manual
1777560532796,,1,C1,page_turn,1777560620313,3,,0,,,
1777560532796,,1,C1,line_change,1777560623113,2,,0,2,forward,auto
1777560532796,,1,C1,line_change,1777560624441,2,,0,3,forward,auto
1777560532796,,1,C1,line_change,1777560627767,2,,0,4,forward,auto
1777560532796,,1,C1,line_change,1777560629804,2,,0,5,forward,auto
1777560532796,,1,C1,line_change,1777560632426,2,,0,6,forward,auto
1777560532796,,1,C1,line_change,1777560633744,2,,0,7,forward,auto
1777560532796,,1,C1,line_change,1777560699761,3,,0,1,forward,manual
1777560532796,,1,C1,page_turn,1777560699774,4,,0,,,
1777560532796,,1,C1,session_end,1777560731559,4,,0,,,
